Date,Open,High,Low,Close,Volume
22.01.2008 09:00:00.000 GMT+0300,2.25638,2.2774400000000004,2.25508,2.27287,13284.9
22.01.2008 13:00:00.000 GMT+0300,2.27293,2.28,2.25661,2.26093,7887.1
22.01.2008 17:00:00.000 GMT+0300,2.2601299999999998,2.2611,2.24547,2.25684,2594.1
22.01.2008 21:00:00.000 GMT+0300,2.25628,2.26051,2.25051,2.25674,2556.1
23.01.2008 01:00:00.000 GMT+0300,2.25618,2.25864,2.2422299999999997,2.2492400000000004,2976.8
23.01.2008 05:00:00.000 GMT+0300,2.24858,2.2663900000000003,2.2474,2.2591099999999997,3586.5
23.01.2008 09:00:00.000 GMT+0300,2.25897,2.26316,2.24856,2.25368,13283.1001
23.01.2008 13:00:00.000 GMT+0300,2.25339,2.26284,2.25258,2.2583599999999997,7888.5999
23.01.2008 17:00:00.000 GMT+0300,2.25846,2.25961,2.24845,2.25525,2592.6
23.01.2008 21:00:00.000 GMT+0300,2.25523,2.25541,2.23601,2.23817,2552.6
24.01.2008 01:00:00.000 GMT+0300,2.2379,2.24713,2.23575,2.24206,2981.6
24.01.2008 05:00:00.000 GMT+0300,2.24178,2.24423,2.2328200000000002,2.23582,3583.8
24.01.2008 09:00:00.000 GMT+0300,2.2356700000000003,2.24357,2.23359,2.24231,13285.8001
24.01.2008 13:00:00.000 GMT+0300,2.24316,2.24606,2.23715,2.2386,7883.8
24.01.2008 17:00:00.000 GMT+0300,2.23874,2.24857,2.2379,2.24483,2592.9
24.01.2008 21:00:00.000 GMT+0300,2.24444,2.2486200000000003,2.2397099999999996,2.23978,2555.3
25.01.2008 01:00:00.000 GMT+0300,2.23829,2.24255,2.2347,2.23585,2985.8
25.01.2008 05:00:00.000 GMT+0300,2.2357099999999996,2.24032,2.23428,2.23873,3581.1
25.01.2008 09:00:00.000 GMT+0300,2.23881,2.24347,2.2339900000000004,2.24036,13279.2001
25.01.2008 13:00:00.000 GMT+0300,2.2404599999999997,2.24857,2.23707,2.246,7886.2999
25.01.2008 17:00:00.000 GMT+0300,2.2456099999999997,2.25155,2.2412400000000003,2.25064,2594.1
25.01.2008 21:00:00.000 GMT+0300,2.25012,2.25602,2.2469200000000003,2.25264,2558.8
26.01.2008 01:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
26.01.2008 05:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
26.01.2008 09:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
26.01.2008 13:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
26.01.2008 17:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
26.01.2008 21:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
27.01.2008 01:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
27.01.2008 05:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
27.01.2008 09:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
27.01.2008 13:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
27.01.2008 17:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
27.01.2008 21:00:00.000 GMT+0300,2.25264,2.25264,2.25264,2.25264,0.0
28.01.2008 01:00:00.000 GMT+0300,2.25712,2.2585,2.247,2.24911,2551.2
28.01.2008 05:00:00.000 GMT+0300,2.2492799999999997,2.25277,2.24556,2.2498,2555.0
28.01.2008 09:00:00.000 GMT+0300,2.24954,2.2526599999999997,2.24537,2.2491,2594.1
28.01.2008 13:00:00.000 GMT+0300,2.24876,2.25467,2.24617,2.2522,7884.3999
28.01.2008 17:00:00.000 GMT+0300,2.25216,2.25573,2.24116,2.24195,13281.0
28.01.2008 21:00:00.000 GMT+0300,2.24202,2.2423599999999997,2.2298,2.23043,3583.8
29.01.2008 01:00:00.000 GMT+0300,2.23042,2.23782,2.22951,2.23739,2978.6
29.01.2008 05:00:00.000 GMT+0300,2.2374400000000003,2.2378099999999996,2.2336400000000003,2.23513,2558.8
29.01.2008 09:00:00.000 GMT+0300,2.2354700000000003,2.2384,2.23211,2.23477,2593.8
29.01.2008 13:00:00.000 GMT+0300,2.235,2.24302,2.2316599999999998,2.23561,7883.4998
29.01.2008 17:00:00.000 GMT+0300,2.23552,2.24145,2.2309099999999997,2.23477,13282.7999
29.01.2008 21:00:00.000 GMT+0300,2.23473,2.2399299999999998,2.23225,2.2360900000000004,3571.5
30.01.2008 01:00:00.000 GMT+0300,2.2363,2.24237,2.23578,2.24064,2968.9
30.01.2008 05:00:00.000 GMT+0300,2.24068,2.24347,2.23809,2.24083,2556.1
30.01.2008 09:00:00.000 GMT+0300,2.2412400000000003,2.246,2.23938,2.2429200000000002,2593.8
30.01.2008 13:00:00.000 GMT+0300,2.24324,2.2439,2.23588,2.23794,7884.1001
30.01.2008 17:00:00.000 GMT+0300,2.23775,2.23842,2.23086,2.23299,13281.2999
30.01.2008 21:00:00.000 GMT+0300,2.23312,2.23447,2.2116700000000002,2.2235099999999997,3570.6
31.01.2008 01:00:00.000 GMT+0300,2.2242900000000003,2.24635,2.22343,2.2321299999999997,2970.5
31.01.2008 05:00:00.000 GMT+0300,2.2330200000000002,2.2355099999999997,2.2278700000000002,2.2316700000000003,2552.2
31.01.2008 09:00:00.000 GMT+0300,2.23158,2.2356599999999998,2.22592,2.2318700000000002,2595.3
31.01.2008 13:00:00.000 GMT+0300,2.23216,2.2368900000000003,2.22757,2.2368900000000003,7885.3
31.01.2008 17:00:00.000 GMT+0300,2.23725,2.23843,2.2154599999999998,2.21888,13277.9999
31.01.2008 21:00:00.000 GMT+0300,2.2189,2.22034,2.21378,2.21733,3565.2
01.02.2008 01:00:00.000 GMT+0300,2.21806,2.22502,2.21639,2.22336,2978.7
01.02.2008 05:00:00.000 GMT+0300,2.22376,2.22412,2.21765,2.22194,2552.5
01.02.2008 09:00:00.000 GMT+0300,2.22205,2.2222,2.21015,2.21528,2590.8
01.02.2008 13:00:00.000 GMT+0300,2.21517,2.2162599999999997,2.1945799999999998,2.1981,7884.9999
01.02.2008 17:00:00.000 GMT+0300,2.19767,2.2002,2.1760599999999997,2.18256,13281.9
